Month,Year,Total Orders,Gross Sales,Discounts,Returns,Net Sales,Shipping,Total Sales
August,2018,82,7698.7,-140.57,-197.35,7360.78,1404.03,8764.81
September,2018,79,10582.85,-276.15,0.0,10306.7,1634.33,11941.03
October,2018,71,7014.5,-277.95,-294.75,6441.8,1262.45,7704.25
November,2018,140,12002.7,-414.45,-154.4,11433.85,2237.05,13670.9
December,2018,164,13683.5,-371.2,-928.35,12383.95,2552.2,14936.15
January,2019,87,7811.75,-261.97,-1250.35,6299.43,1313.78,7615.91
February,2019,63,6523.7,-288.7,-38.7,6196.3,1121.85,7318.15
March,2019,99,13075.5,-439.85,-981.0,11654.65,2115.1,13769.75
April,2019,92,6977.0,-285.4,-10.0,6681.6,1342.45,8024.05
May,2019,96,10082.25,-460.9,-173.35,9448.0,1768.2,11216.2
June,2019,85,7321.75,-186.02,-165.4,6970.33,1356.8,8327.13
July,2019,94,9739.2,-447.07,-908.75,8383.38,1631.4,10014.78
August,2019,105,8839.5,-201.67,-84.37,8553.46,1724.75,10278.21
September,2019,88,9077.45,-354.89,-853.35,7869.21,1567.65,9436.86
October,2019,97,9132.25,-279.42,-1572.55,7280.28,1631.25,8911.53
November,2019,272,23997.9,-776.84,-364.51,22856.55,4824.75,27681.3
December,2019,342,31183.9,-2269.51,-1311.18,27603.21,5703.25,33306.46
July,2019,94,9739.2,-447.07,-908.75,8383.38,1631.4,10014.78
February,2019,63,6523.7,-288.7,-38.7,6196.3,1121.85,7318.15
August,2019,105,8839.5,-201.67,-84.37,8553.46,1724.75,10278.21
May,2019,96,10082.25,-460.9,-173.35,9448.0,1768.2,11216.2
August,2019,105,8839.5,-201.67,-84.37,8553.46,1724.75,10278.21
